CSR [11:10],CSR [9:8],CSR [7:0],Address (Hex),Privilege,Name,L71,A71/H71,Width,Fields,Field Type,Reset value,Instruction Access,"Updated by
(direct write, not via instructions)","Output to 
(direct read)",Description,Risc-V Description,Note,Group,Shadow of,Access Enable,Disable Action,Reset Impl A,Reset Impl H,Field Access,bit63,bit62,bit61,bit60,bit59,bit58,bit57,bit56,bit55,bit54,bit53,bit52,bit51,bit50,bit49,bit48,bit47,bit46,bit45,bit44,bit43,bit42,bit41,bit40,bit39,bit38,bit37,bit36,bit35,bit34,bit33,bit32,bit31,bit30,bit29,bit28,bit27,bit26,bit25,bit24,bit23,bit22,bit21,bit20,bit19,bit18,bit17,bit16,bit15,bit14,bit13,bit12,bit11,bit10,bit09,bit08,bit07,bit06,bit05,bit04,bit03,bit02,bit01,bit00,Reset Impl L,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L09,L08,L07,L06,L05,L04,L03,L02,L01,L00
,,,0x5ff,SRW Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,10,00000000,0x600,HRW,hstatus,,,,,,,,,,,Hypervisor status register.,,Trap Setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x601,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x602,HRW,hedeleg,,,,,,,,,,,Hypervisor exception delegation register.,,Trap Setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x603,HRW,hideleg,,,,,,,,,,,Hypervisor interrupt delegation register.,,Trap Setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x604,HRW,hie,,,,,,,,,,,Hypervisor interrupt-enable register.,,Trap Setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x605,HRW,htimedelta,,,,,,,,,,,Delta for VS/VU-mode timer.,,H Counter/Timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x606,HRW,hcounteren,,,,,,,,,,,Hypervisor counter enable.,,Trap Setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x607,HRW,hgeie,,,,,,,,,,,Hypervisor guest external interrupt-enable register.,,Trap Setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x608,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x609,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x60a,HRW,henvcfg,,,,,,,,,,,Hypervisor environment configuration register.,,Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x615,HRW,htimedeltah,,,,,,,,,,,"Upper 32 bits of htimedelta, HSXLEN=32 only.",,H Counter/Timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x618,HRW,hcontext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x61a,HRW,henvcfgh,,,,,,,,,,,"Additional hypervisor env. conf. register, RV32 only.",,Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x643,HRW,htval,,,,,,,,,,,Hypervisor bad guest physical address.,,Trap Handling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x644,HRW,hip,,,,,,,,,,,Hypervisor interrupt pending.,,Trap Handling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x645,HRW,hvip,,,,,,,,,,,Hypervisor virtual interrupt pending.,,Trap Handling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x64a,HRW,htinst,,,,,,,,,,,Hypervisor trap instruction (transformed).,,Trap Handling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x67f,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x680,HRW,hgatp,,,,,,,,,,,Hypervisor guest address translation and protection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x6a8,HRW,hcontext,,,,,,,,,,,Hypervisor-mode context register.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x6bf,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x6c0,HRW Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x6ff,HRW Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,11,00000000,0x700,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x747,MRW,mseccfg,,,,,,,,,,,Machine security configuration register.,,Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x757,MRW,mseccfgh,,,,,,,,,,,"Additional machine security conf. register, RV32 only.",,Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x77f,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x780,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x79f,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x7a0,MRW,tselect,tselect,tselect,XLEN,index,WARL,-,MRW,-,-,,Debug/Trace trigger register select.,,Debug/Trace,,,,-,-,Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,idx,idx,-,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,idx,idx
,,,0x7a1,MRW,tdata1,tdata1,tdata1,XLEN*TRIGGERS,type dmode data,WARL,0,MRW,PLC,-,,First Debug/Trace trigger data register.,See Risc-V debug spec (External Debug extension v1.0.0-STABLE),Debug/Trace,,,,0,0,,type,type,type,type,dmode,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,0,type,type,type,type,dmode,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
,,,0x7a2,MRW,tdata2,tdata2,tdata2,XLEN*TRIGGERS,data,RW,-,MRW,-,-,,Second Debug/Trace trigger data register.,,Debug/Trace,,,,-,-,,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,-,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
,,,0x7a3,MRW,tdata3,-,-,-,data,RW,N/A,MRW,-,-,,Third Debug/Trace trigger data register.,,,,,,N/A,N/A,,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,N/A,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
,,,0x7a4,MRW,tinfo,tinfo,tinfo,XLEN,info,RW,0x40,MRW,-,-,Set bit[6] to indicate MCONTROL6 type (in tdata1) is supported.,Trigger Info.,,Debug/Trace,,,,0x40,0x40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,info,info,info,info,info,info,info,info,info,info,info,info,info,info,info,0x40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,info,info,info,info,info,info,info,info,info,info,info,info,info,info,info
,,,0x7a8,MRW,mcontext,,,XLEN,hcontext,,0,,,,,Machine-mode context register. Alias for hcontext,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x7af,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x7b0,MRW,dcsr,dcsr,dcsr,32,debugver ebreak* stepie stopcount stoptime cause v mprven nmip step prv,RW,"debugver=4
prv=3
others=0",MRW,PLC,-,Not available for L71.,Debug control and status register.,,Debug Mode,,,,"{3,0,0,0,0,0,0,0,0,0,0,0,0,0,4}","{3,0,0,0,0,0,0,0,0,0,0,0,0,0,4}",Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,debugver,debugver,debugver,debugver,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,ebreakvs,ebreakvu,ebreakm,wpri,ebreaks,ebreaku,stepie,stopcount,stoptime,cause,cause,cause,v,mprven,nmip,step,prv,prv,"{3,0,0,0,0,0,0,0,0,0,0,0,0,0,4}",debugver,debugver,debugver,debugver,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,ebreakvs,ebreakvu,ebreakm,wpri,ebreaks,ebreaku,stepie,stopcount,stoptime,cause,cause,cause,v,mprven,nmip,step,prv,prv
,,,0x7b1,MRW,dpc,dpc,dpc,DXLEN,dpc[DXLEN-1:0],RW,0,MRW,PLC,-,bit[0] is always 0. Not available for L71.,Debug PC.,,Debug Mode,,,,{0},{0},Yes,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,wpri,{0},dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,dpc,wpri
,,,0x7b2,MRW,dscratch0,dscratch0,dscratch0,DXLEN,dscratch0[DXLEN-1:0],RW,-,MRW,-,-,Not available for L71.,Debug scratch register 0.,,Debug Mode,,,,-,-,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
,,,0x7b3,MRW,dscratch1,dscratch1,dscratch1,DXLEN,dscratch1[DXLEN-1:0],RW,-,MRW,-,-,Not available for L71.,Debug scratch register 1.,,Debug Mode,,,,-,-,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x7bf,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x7c0,MRW Custom,ddata0,ddata0,ddata0,DXLEN,"A71/H71: {data1, data0}
L71: data0",RW,-,MRW,,,"A71/H71: {data1, data0}
L71: data0",,,Debug Mode,dm.darg,,,-,-,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
,,,0x7c1,MRW Custom,ddata1,-,-,DXLEN,"A71/H71: {data3, data2}
L71: data1",RW,-,MRW,,,"A71/H71: {data3, data2}
L71: data1",,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x7c3,MRW Custom,ddata2,-,-,DXLEN,"A71/H71: {data5, data4}
L71: data2",RW,-,MRW,,,"A71/H71: {data5, data4}
L71: data2",,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,MRW Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x7e0,MRW Custom,mcfgctrl,mcfgctrl,mcfgctrl,XLEN,"bit[XLEN-1:26]: reserved,
bit[25:24]: DIS_DC* 
bit[23:18]: reserved ROZ,
bit[17:16]: DIS*, 
bit[15:7]: reserved ROZ, 
bit[6:0]: DIS*",RW,0x8000,MRW,,,"Custom configuration control.

Reset value: 
DIS_LARGE_TLB_PAGE=1,
Others=0.",Custom configuration control,,M Custom,,,,"{0,1,0,0,0,0,0,0,0}","{0,1,0,0,0,0,0,0,0}",Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,DIS_LARGE_TLB_PAGE,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,DIS_BR_PRED,DIS_SPEC_STATE_ISSUE,DIS_SLOT1,DIS_ALU_LOGIC_DUAL_ISSUE,DIS_MV_DUAL_ISSUE,DIS_ALU_AGU_DUAL_ISSUE,DIS_ALL_DUAL_ISSUE,DIS_LATE_ALU,"{0,1,0,0,0,0,0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,DIS_LARGE_TLB_PAGE,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,DIS_BR_PRED,DIS_SPEC_STATE_ISSUE,DIS_SLOT1,DIS_ALU_LOGIC_DUAL_ISSUE,DIS_MV_DUAL_ISSUE,DIS_ALU_AGU_DUAL_ISSUE,DIS_ALL_DUAL_ISSUE,DIS_LATE_ALU
,,,0x7e1,MRW Custom,mpwrctrl,,,XLEN,"bit[XLEN-1:9]: ROZ,
bit[8]: FLUSH_DCACHE
bit[7:5]: ROZ
bit[4]: FLUSH_ICACHE
bit[3:1]: ROZ
bit[0]: STOPPED",RW,0,MRW,,,Custom power control,Custom power control,,,,,,0,0,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
,,,0x7e2,MRW Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x7e3,MRW Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x7e4,MRW Custom,mcachestatus,mcachestatus,mcachestatus,XLEN,"bit[XLEN-1:25]: reserved, 
bit[24:16]: in use, 
bit[15:10]: reserved, 
bit[9:0]: in use",RO,0,MRO,IFU/DCU,,Custom cache status,Custom cache status register.,,M Custom,,,,"{0,0,0,0,0,0}","{0,0,0,0,0,0}",Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,WFI_STOP_MODE,wpri,wpri,wpri,wpri,wpri,wpri,wpri,L2CACHE_DISABLED,wpri,wpri,wpri,wpri,wpri,wpri,DCACHE_PREF_DISABLED,DCACHE_DISABLED,wpri,wpri,wpri,wpri,wpri,wpri,ICACHE_PREF_DISABLED,ICACHE_DISABLED,"{0,0,0,0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,WFI_STOP_MODE,wpri,wpri,wpri,wpri,wpri,wpri,wpri,L2CACHE_DISABLED,wpri,wpri,wpri,wpri,wpri,wpri,DCACHE_PREF_DISABLED,DCACHE_DISABLED,wpri,wpri,wpri,wpri,wpri,wpri,ICACHE_PREF_DISABLED,ICACHE_DISABLED
